idBase;Sigla;Nome Universidade; PIB ; iGG ; iGovPub ; iGovPessoas ; iGovTI ; iGovContrat ; Result ; Taxa Sucesso ;COD_IFE; I1 ; I2 ; I3 ; I4 ; I5 ; QTD Matriculados ; R$_Desp_Cor_Aluno ; R$_Investido_Aluno ; R$_Assist_Aluno 
187;UNIFEI;Universidade Federal de Itajubá; 31.028 ; 0,31 ; 0,41 ; 0,31 ; 0,35 ; 0,42 ; 0,58 ; 79,74 ;598; 0,05 ;  -    ; 0,07 ; 0,06 ; 0,06 ; 7.063 ; 408 ; 258 ; 268 
165;UFMG;Universidade Federal de Minas Gerais; 36.830 ; 0,43 ; 0,46 ; 0,47 ; 0,43 ; 0,45 ; 0,49 ; 72,63 ;575; 0,14 ; 0,00 ; 0,11 ; 0,10 ; 0,08 ; 31.342 ; 565 ; 167 ; 664 
166;UFPA;Universidade Federal do Pará; 21.188 ; 0,24 ; 0,43 ; 0,40 ; 0,31 ; 0,10 ; 0,56 ; 71,19 ;569; 0,08 ; 0,00 ; 0,08 ; 0,05 ; 0,06 ; 35.808 ; 401 ; 132 ; 432 
211;UNIFAP;Fundação Universidade Federal do Amapá; 22.181 ; 0,41 ; 0,50 ; 0,48 ; 0,48 ; 0,21 ; 0,49 ; 65,30 ;830; 0,05 ; 0,00 ; 0,07 ; 0,02 ; 0,04 ; 11.253 ; 308 ; 1.149 ; 211 
171;UFRGS;Universidade Federal do Rio Grande do Sul; 52.182 ; 0,53 ; 0,52 ; 0,49 ; 0,63 ; 0,28 ; 0,84 ; 63,28 ;581; 0,10 ; 0,00 ; 0,10 ; 0,09 ; 0,09 ; 28.802 ; 621 ; 240 ; 664 
180;UFRA;Universidade Federal Rural da Amazônia; 21.188 ; 0,52 ; 0,61 ; 0,58 ; 0,44 ; 0,68 ; 0,51 ; 61,26 ;590; 0,09 ; 0,00 ; 0,07 ; 0,04 ; 0,06 ; 7.114 ; 588 ; 165 ; 377 
291;UFOPA;Universidade Federal do Oeste do Pará; 16.052 ; 0,15 ; 0,24 ; 0,21 ; 0,09 ; 0,25 ; 0,10 ; 59,83 ;15059; 0,12 ; 0,00 ; 0,10 ; 0,06 ; 0,08 ; 5.259 ; 803 ; 890 ; 957 
168;UFPR;Universidade Federal do Paraná; 45.458 ; 0,27 ; 0,25 ; 0,23 ; 0,30 ; 0,32 ; 0,00 ; 59,64 ;571; 0,07 ; 0,00 ; 0,09 ; 0,07 ; 0,07 ; 27.691 ; 614 ; 149 ; 358 
209;UFCSPA;Fundação Universidade Federal de Ciências da Saúde de Porto Alegre; 52.182 ; 0,25 ; 0,30 ; 0,20 ; 0,27 ; 0,23 ; 0,17 ; 59,42 ;717; 0,09 ; 0,00 ; 0,15 ; 0,13 ; 0,09 ; 2.523 ; 997 ; 830 ; 602 
169;UFPE;Universidade Federal de Pernambuco; 31.996 ; 0,38 ; 0,42 ; 0,34 ; 0,37 ; 0,38 ; 0,15 ; 59,21 ;580; 0,13 ; 0,00 ; 0,10 ; 0,07 ; 0,07 ; 31.146 ; 504 ; 233 ; 630 
188;UNIFESP;Universidade Federal de São Paulo; 58.690 ; 0,47 ; 0,60 ; 0,37 ; 0,42 ; 0,69 ; 0,46 ; 58,36 ;591; 0,16 ; 0,02 ; 0,15 ; 0,14 ; 0,11 ; 11.411 ; 892 ; 906 ; 452 
164;UFJF;Universidade Federal de Juiz de Fora; 30.049 ; 0,31 ; 0,36 ; 0,28 ; 0,43 ; 0,23 ; 0,24 ; 56,24 ;576; 0,07 ; 0,00 ; 0,09 ; 0,07 ; 0,07 ; 18.884 ; 1.070 ; 195 ; 611 
172;UFRJ;Universidade Federal do Rio de Janeiro; 54.329 ; 0,18 ; 0,23 ; 0,20 ; 0,13 ; 0,19 ; 0,36 ; 56,23 ;586; 0,35 ; 0,01 ; 0,10 ; 0,07 ; 0,07 ; 42.016 ; 801 ; 100 ; 727 
161;UFES;Universidade Federal do Espírito Santo; 71.227 ; 0,30 ; 0,30 ; 0,23 ; 0,51 ; 0,28 ; 0,91 ; 55,71 ;573; 0,08 ; 0,00 ; 0,08 ; 0,06 ; 0,06 ; 23.438 ; 474 ; 311 ; 372 
219;UFABC;Fundação Universidade Federal do ABC; 10.092 ; 0,34 ; 0,43 ; 0,28 ; 0,49 ; 0,34 ; 0,27 ; 54,64 ;4925; 0,06 ; 0,00 ; 0,06 ; 0,06 ; 0,06 ; 13.019 ; 427 ; 468 ; 433 
189;UFLA;Universidade Federal de Lavras; 25.517 ; 0,81 ; 0,77 ; 0,80 ; 0,91 ; 0,82 ; 1,00 ; 54,10 ;592; 0,06 ; 0,00 ; 0,08 ; 0,07 ; 0,07 ; 9.931 ; 501 ; 666 ; 304 
205;UFSCar;Fundação Universidade Federal de São Carlos; 44.796 ; 0,27 ; 0,37 ; 0,32 ; 0,31 ; 0,28 ; 0,44 ; 53,36 ;7; 0,08 ; 0,01 ; 0,12 ; 0,10 ; 0,10 ; 12.697 ; 637 ; 221 ; 419 
199;UFU;Universidade Federal de Uberlândia; 54.905 ; 0,37 ; 0,56 ; 0,38 ; 0,25 ; 0,47 ; 0,52 ; 52,92 ;17; 0,08 ; 0,00 ; 0,09 ; 0,07 ; 0,07 ; 22.209 ; 516 ; 140 ; 463 
170;UFRN;Universidade Federal do Rio Grande do Norte; 27.088 ; 0,75 ; 0,73 ; 0,80 ; 0,60 ; 0,63 ; 0,48 ; 52,77 ;570; 0,16 ; 0,00 ; 0,09 ; 0,06 ; 0,06 ; 28.528 ; 455 ; 370 ; 571 
158;UFAL;Universidade Federal de Alagoas; 22.123 ; 0,27 ; 0,16 ; 0,31 ; 0,24 ; 0,28 ; 0,20 ; 52,69 ;577; 0,07 ; 0,00 ; 0,07 ; 0,04 ; 0,03 ; 26.155 ; 335 ; 116 ; 465 
