idBase;Sigla;Nome Universidade;PIB;iGG;iGovPub;iGovPessoas;iGovTI;iGovContrat;Result;Taxa Sucesso;COD_IFE;I1;I2;I3;I4;I5; QTD Matriculados ; R$_Desp_Cor_Aluno ; R$_Investido_Aluno ; R$_Assist_Aluno 
187;UNIFEI;Universidade Federal de Itajubá;31027,77;0,311419286;0,41358115;0,311545646;0,351180162;0,419307741;0,57546022;79,74;598;0,052; -   ;0,0738;0,0562;0,064; 7.063,00 ; 4.390,25 ; 1.098,22 ; 536,44 
165;UFMG;Universidade Federal de Minas Gerais;36830,29;0,434915547;0,461879817;0,470353276;0,434567152;0,453554952;0,492257081;72,63;575;0,139;0,0048;0,1146;0,0995;0,0844; 31.342,00 ; 9.321,27 ; 960,45 ; 1.162,46 
166;UFPA;Universidade Federal do Pará;21187,72;0,239993618;0,430058769;0,401908508;0,306926484;0,103066968;0,560336978;71,19;569;0,079;0,0034;0,0764;0,0509;0,0575; 35.808,00 ; 5.819,22 ; 723,89 ; 756,77 
211;UNIFAP;Fundação Universidade Federal do Amapá;22180,61;0,40635163;0,503312;0,482690961;0,480119455;0,210595852;0,488148853;65,3;830;0,045;0,0002;0,0662;0,0233;0,0433; 11.253,00 ; 3.234,76 ; 5.168,57 ; 422,35 
171;UFRGS;Universidade Federal do Rio Grande do Sul;52181,5;0,530180758;0,516744499;0,485621867;0,628465552;0,281934839;0,842793108;63,28;581;0,097;0,0047;0,1012;0,0925;0,0855; 28.802,00 ; 8.380,24 ; 720,17 ; 663,86 
180;UFRA;Universidade Federal Rural da Amazônia;21187,72;0,524982614;0,612246327;0,581824042;0,438648097;0,683358118;0,510338949;61,26;590;0,085;0,002;0,0697;0,0436;0,0611; 7.114,00 ; 6.029,61 ; 659,51 ; 564,95 
291;UFOPA;Universidade Federal do Oeste do Pará;16052,05;0,148026383;0,238799473;0,20837614;0,086552352;0,245804777;0,09925003;59,83;15059;0,116;0,0008;0,0996;0,055;0,0787; 5.259,00 ; 8.233,27 ; 2.892,45 ; 1.436,05 
168;UFPR;Universidade Federal do Paraná;45458,27;0,269098049;0,251073257;0,22989508;0,303813024;0,31617593;0,004962501;59,64;571;0,069;0,0026;0,0879;0,0726;0,071; 27.691,00 ; 8.292,24 ; 783,08 ; 715,83 
209;UFCSPA;Fundação Universidade Federal de Ciências da Saúde de Porto Alegre;52181,5;0,252738394;0,300557716;0,198014523;0,274994613;0,230207501;0,172763751;59,42;717;0,086;0,0036;0,1459;0,1312;0,0856; 2.523,00 ; 11.468,79 ; 2.282,57 ; 601,71 
169;UFPE;Universidade Federal de Pernambuco;31996,33;0,375007803;0,41764685;0,338503217;0,372092842;0,378974887;0,150185521;59,21;580;0,128;0,0031;0,0982;0,0725;0,068; 31.146,00 ; 6.934,37 ; 873,87 ; 1.103,31 
188;UNIFESP;Universidade Federal de São Paulo;58690,27;0,474295381;0,604646966;0,369323438;0,423547663;0,691104297;0,455528662;58,36;591;0,16;0,022;0,1487;0,1434;0,1073; 11.411,00 ; 10.701,85 ; 3.172,24 ; 790,25 
164;UFJF;Universidade Federal de Juiz de Fora;30048,91;0,311131718;0,362951405;0,279481603;0,432635611;0,233925127;0,242655839;56,24;576;0,068;0,0019;0,0947;0,0684;0,0702; 18.884,00 ; 13.906,34 ; 876,18 ; 763,99 
172;UFRJ;Universidade Federal do Rio de Janeiro;54329,08;0,181102695;0,230671166;0,201716381;0,134521953;0,185974222;0,355425799;56,23;586;0,347;0,0122;0,0999;0,0707;0,0726; 42.016,00 ; 11.607,56 ; 474,08 ; 1.090,26 
161;UFES;Universidade Federal do Espírito Santo;71226,56;0,296713936;0,301946468;0,226060328;0,505929498;0,275201609;0,905313346;55,71;573;0,082;0,002;0,0817;0,0631;0,0646; 23.438,00 ; 6.285,80 ; 1.243,18 ; 744,26 
219;UFABC;Fundação Universidade Federal do ABC;10091,65;0,339908893;0,425669372;0,27553439;0,487620333;0,34258815;0,267504548;54,64;4925;0,056;0,0009;0,0628;0,0621;0,0621; 13.019,00 ; 4.588,50 ; 1.870,07 ; 541,17 
189;UFLA;Universidade Federal de Lavras;25516,88;0,813220897;0,768306385;0,80096002;0,911145232;0,824106174;1;54,1;592;0,059;0,0035;0,0833;0,072;0,0719; 9.931,00 ; 5.756,83 ; 2.498,41 ; 531,73 
205;UFSCar;Fundação Universidade Federal de São Carlos;44796,4;0,26527456;0,372733167;0,322909844;0,312866604;0,282928566;0,436359149;53,36;7;0,08;0,0064;0,1155;0,1032;0,0976; 12.697,00 ; 6.847,95 ; 772,64 ; 732,62 
199;UFU;Universidade Federal de Uberlândia;54904,9;0,369028633;0,564788195;0,382427716;0,251353554;0,474150756;0,517179634;52,92;17;0,084;0,0036;0,092;0,0726;0,0743; 22.209,00 ; 7.606,85 ; 944,82 ; 926,67 
170;UFRN;Universidade Federal do Rio Grande do Norte;27088,32;0,745591752;0,729903451;0,801259683;0,59700213;0,630580885;0,478641986;52,77;570;0,158;0,0038;0,0935;0,0626;0,0614; 28.528,00 ; 7.849,04 ; 1.663,91 ; 999,89 
158;UFAL;Universidade Federal de Alagoas;22123,34;0,272141164;0,162159783;0,307901607;0,241322909;0,276599979;0,204969239;52,69;577;0,067;0,0016;0,07;0,0433;0,0337; 26.155,00 ; 4.604,07 ; 664,89 ; 814,48 
210;UFSJ;Fundação Universidade Federal de São João del-Rei;24022,25;0,344047861;0,429250464;0,404656553;0,145028794;0,385243257;0,049625015;52,44;107;0,049;0,0005;0,0808;0,0642;0,0695; 11.121,00 ; 5.406,06 ; 1.988,22 ; 922,18 
174;UFSM;Universidade Federal de Santa Maria;12144,47;0,341458337;0,455051391;0,395036859;0,213088155;0,388553738;0,117710384;52,24;582;0,089;0,0049;0,1171;0,092;0,0937; 18.741,00 ; 8.035,88 ; 1.678,35 ; 1.152,35 
163;UFF;Universidade Federal Fluminense;78894,23;0,301881654;0,31338242;0,246271401;0,309915907;0,31962039;0,383836286;51,88;572;0,131;0,0027;0,0997;0,0781;0,076; 35.527,00 ; 6.589,13 ; 777,05 ; 778,86 
