idBase;Sigla;Nome Universidade;PIB;iGG;iGovPub;iGovPessoas;iGovTI;iGovContrat;Result;Taxa Sucesso;COD_IFE;Tecnico;Tec_dout;Docente;Doc_ex_dout;Doc_ex_de;Aluno_eq; QTD Matriculados ; R$_Desp_Cor_Aluno ; R$_Investido_Aluno ; R$_Assist_Aluno ;Tecnico_eq;Tec_dout_eq;Docente_eq;Doc_ex_dout_eq;Doc_ex_de_eq; R$_Desp_Cor_Aluno_eq; R$_Investido_Aluno_eq; R$_Assist_Aluno_eq
299;UFSB;Universidade Federal do Sul da Bahia;19188,26;0,104;0,149;0,082;0,022;0,186;0,041;0,310;18812;0,072;0,000;0,092;0,069;0,074;2046,950;3488,000;3717,830;2098,520;486,030;0,124087056;0,000488532;0,156818681;0,117247612;0,126041183;7918,962;4469,850;1035,243
197;UFMA;Fundação Universidade Federal do Maranhão;30673,57;0,121;0,124;0,112;0,135;0,048;0,116;43,900;548;0,048;0,001;0,059;0,030;0,034;21913,240;35764,000;3171,700;387,160;428,410;0,078080649;0,001140863;0,096836433;0,049695983;0,054715779;5176,452;631,875;699,204
176;UFRRJ;Universidade Federal Rural do Rio de Janeiro;51727,16;0,275;0,368;0,286;0,153;0,397;0,124;42,000;574;0,084;0,002;0,065;0,056;0,061;11011,090;14256,000;6261,700;612,540;751,500;0,108345314;0,002906161;0,084732756;0,071927484;0,079465339;8106,990;793,052;972,958
203;UFPel;Fundação Universidade Federal de Pelotas;25912,63;0,351;0,449;0,321;0,539;0,357;0,644;38,290;634;0,082;0,006;0,096;0,073;0,074;13348,340;16198,000;6431,390;519,020;753,900;0,099562942;0,00711699;0,116568802;0,087951011;0,08952424;7804,387;629,819;914,844
219;UFABC;Fundação Universidade Federal do ABC;10091,65;0,340;0,426;0,276;0,488;0,343;0,268;54,640;4925;0,056;0,001;0,063;0,062;0,062;11237,200;13019,000;4588,500;1870,070;541,170;0,064606842;0,001067882;0,072704944;0,071904033;0,071904033;5316,067;2166,599;626,985
193;UNIR;Fundação Universidade Federal de Rondônia;32059,05;0,412;0,611;0,316;0,664;0,351;1,000;47,000;699;0,048;0,000;0,093;0,045;0,070;8771,570;9614,000;4625,490;1040,480;637,760;0,05289817;0;0,10214819;0,04925002;0,076953157;5069,728;1140,409;699,007
195;UFAM;Fundação Universidade do Amazonas;36428,54;0,348;0,536;0,356;0,338;0,482;0,083;45,150;4;0,063;0,001;0,069;0,035;0,049;26015,900;27274,000;4706,460;685,780;813,200;0,065575283;0,001422207;0,072571005;0,037131139;0,051084145;4934,057;718,946;852,523
158;UFAL;Universidade Federal de Alagoas;22123,34;0,272;0,162;0,308;0,241;0,277;0,205;52,690;577;0,067;0,002;0,070;0,043;0,034;25154,070;26155,000;4604,070;664,890;814,480;0,070008551;0,001629955;0,072831156;0,045042413;0,035024153;4787,276;691,350;846,893
297;UNIFESSPA;Universidade Federal do Sul e Sudeste do Pará;31916,85;0,287;0,204;0,142;0,242;0,393;0,234;12,440;18440;0,077;0,001;0,106;0,060;0,088;4042,000;4072,000;5898,620;3190,230;1030,330;0,077436912;0,001237011;0,107125186;0,060613558;0,088817417;5942,396;3213,908;1037,975
192;UNILA;Universidade Federal da Integração Latino Americana;56701,87;0,481;0,401;0,395;0,432;0,616;0,153;24,240;15001;0,152;0,002;0,121;0,094;0,102;3629,000;3629,000;10464,250;4483,060;2484,770;0,152383577;0,001653348;0,121245522;0,093689722;0,101680904;10464,249;4483,059;2484,773
177;UFRR;Universidade Federal de Roraima;26752,61;0,181;0,283;0,207;0,099;0,335;0,132;32,700;789;0,064;0,001;0,100;0,051;0,077;6049,000;5914,000;7300,990;1305,260;777,570;0,062820301;0,000661266;0,0977021;0,049594974;0,074888411;7138,048;1276,127;760,219
178;UFT;Fundação Universidade Federal do Tocantins;32311,8;0,433;0,499;0,448;0,332;0,493;0,270;34,700;3849;0,061;0,001;0,085;0,049;0,060;14806,460;14128,000;5644,920;1813,940;1059,610;0,05828537;0,001080609;0,081518472;0,047006509;0,057407375;5386,263;1730,818;1011,055
296;UFOB;Universidade Federal do Oeste da Bahia;30844,51;0,299;0,359;0,254;0,239;0,350;0,234;24,770;18506;0,137;0,002;0,106;0,055;0,092;3091,830;2918,000;7898,570;3244,730;1735,460;0,129373219;0,001940598;0,099940812;0,051749288;0,086680057;7454,494;3062,301;1637,891
