Sigla;Taxa de sucesso;Município ; PIB (2018) 
UNIFEI;79,74;Itajubá; 31.027,77 
UFMG;72,63;Belo Horizonte; 36.830,29 
UFPA;71,19;Belém; 21.187,72 
UNIFAP;65,3;Macapá; 22.180,61 
UFRGS;63,28;Porto Alegre; 52.181,50 
UFRA;61,26;Belém; 21.187,72 
UFOPA;59,83;Santarém; 16.052,05 
UFPR;59,64;Curitiba; 45.458,27 
UFCSPA;59,42;Porto Alegre; 52.181,50 
UFPE;59,21;Recife; 31.996,33 
UNIFESP;58,36;São Paulo; 58.690,27 
UFJF;56,24;Juiz de Fora; 30.048,91 
UFRJ;56,23;Rio de Janeiro; 54.329,08 
UFES;55,71;Vitória; 71.226,56 
UFABC;54,64;Santo André; 10.091,65 
UFLA;54,1;Lavras; 25.516,88 
UFSCar;53,36;São Carlos; 44.796,40 
UFU;52,92;Uberlândia; 54.904,90 
UFRN;52,77;Natal; 27.088,32 
UFAL;52,69;Maceió; 22.123,34 
UFSJ;52,44;São João del Rei; 24.022,25 
UFSM;52,24;Santa Maria; 12.144,47 
UFF;51,88;Niterói; 78.894,23 
UFCG;50,13;Campina Grande; 22.462,11 
UFPI;49,62;Teresina; 24.340,67 
UNIFAL;49,26;Alfenas; 32.866,51 
UFSC;49,1;Florianópolis; 42.719,93 
UFC;48,8;Fortaleza; 25.113,54 
UFOP;48,68;Ouro Preto; 92.356,32 
UFGD;48,55;Dourados; 38.427,67 
UFMS;47,72;Campo Grande; 8.748,74 
UNIR;47;Porto Velho; 32.059,05 
UFV;46,2;Viçosa; 10.103,94 
UnB;46,13;Brasília; 85.661,39 
UFG;45,94;Goiânia; 32.992,87 
UFAM;45,15;Manaus; 36.428,54 
UFTM;44,66;Uberaba; 44.594,28 
UFMA;43,9;São Luís; 30.673,57 
UFBA;43,47;Salvador; 22.235,70 
UFRRJ;42;Seropédica; 51.727,16 
UFCA;41,85;Juazeiro do Norte; 17.710,46 
UFVJM;41,47;Diamantina; 15.956,03 
UFPB;41,11;João Pessoa; 24.752,78 
UFS;39,24;Aracaju; 26.779,43 
UFMT;39,22;Cuiabá; 39.593,92 
UFPel;38,29;Pelotas; 25.912,63 
UTFPR;37,77;Curitiba; 45.458,27 
UFERSA;36,43;Mossoró; 22.103,19 
UNIVASF;36,28;Petrolina; 19.443,88 
UFRB;34,93;Cruz das Almas; 15.661,79 
FURG;34,74;Rio Grande; 51.840,76 
UFT;34,7;Palmas; 32.311,80 
UFRPE;34,18;Recife; 31.996,33 
UFAC;34;Rio Branco; 22.213,51 
UFRR;32,7;Boa Vista; 26.752,61 
UNILAB;31,75;Redenção; 21.457,64 
UFFS;29,2;Chapecó; 44.363,68 
UFOB;24,77;Barreiras; 30.844,51 
UNILA;24,24;Foz do Iguaçu; 56.701,87 
UNIPAMPA;23,46;Bagé; 24.642,82 
UNIFESSPA;12,44;Marabá; 31.916,85 
UFESBA;0,31;Itabuna; 19.188,26 
